WCCcomponentID,channels_count,chat_count,message_count,duration_seconds,timestamp_start,timestamp_end
144067,1,17,109,26844710,1693958982,1720803692
144220,1,34,176,35479704,1696895007,1732374711
144495,1,16,45,33656105,1706707656,1740363761
144572,1,17,70,14502583,1709348968,1723851551
145595,1,25,194,29359124,1716325101,1745684225
144824,1,55,282,28003066,1716747603,1744750669
145756,1,23,80,32602166,1716820580,1749422746
144832,1,24,62,20827067,1720914499,1741741566
145107,1,22,125,13092903,1732915139,1746008042
145084,1,32,103,15931445,1732934982,1748866427
145279,1,17,49,8341583,1738968483,1747310066
